age,gender,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality
56,Male,40754,5.17,18,24,6.74,0.56,1.3,6,4.9,6.61,6.83,5.8,84.62,66.71,3.08,0.15,0.12,0.17,0.3,0.41,7.89,1,444,4.24,0,0,42.71,8,3.41,7.86,4.78,24.12,7.54,2.19,6.22,31,4
15,Male,66658,1.07,31,12,6.67,0.19,6.29,7,7.6,6.77,7.92,4.88,50.11,71.11,0.0,0.42,0.5,0.87,0.51,0.61,14.03,40,177,2.22,1,1,464.78,0,6.45,2.72,6.09,24.78,4.57,2.11,5.47,96,10
49,Male,89317,7.5,12,0,8.04,0.25,2.42,2,7.35,7.04,6.1,6.33,68.94,55.06,5.38,0.19,0.1,0.28,0.74,0.54,7.31,0,60,1.55,3,0,126.08,1,5.59,5.11,5.4,22.4,9.34,3.92,2.95,17,2
19,Female,128017,8.0,32,6,5.79,8.49,6.0,3,7.64,3.98,6.59,1.61,55.89,34.71,6.25,0.89,0.38,0.43,0.65,0.73,4.75,9,216,1.68,1,1,745.56,10,5.37,5.11,3.77,26.7,11.96,3.07,3.95,22,1
33,Female,130936,1.72,35,15,6.57,0.6,0.7,5,5.69,2.17,10.0,0.95,87.82,74.05,1.57,0.6,0.19,0.32,0.64,0.87,6.45,34,149,0.8,7,0,568.89,4,4.23,4.58,6.29,30.79,6.97,4.76,1.72,24,2
21,Male,25023,6.59,6,12,6.59,2.99,1.44,1,4.92,9.55,6.29,4.73,50.85,77.94,5.67,0.6,0.28,0.22,0.37,0.49,10.56,24,281,0.43,10,0,341.02,1,5.7,5.17,8.08,22.88,7.34,3.85,6.6,0,10
51,Female,61159,4.88,9,18,4.8,2.87,3.68,1,4.26,2.9,5.08,2.3,75.28,74.59,2.76,0.31,0.14,0.37,0.32,0.74,21.17,43,316,2.95,0,0,817.23,7,4.48,4.63,9.61,28.99,16.57,5.04,0.56,63,6
30,Male,70010,4.64,26,11,5.75,0.79,1.35,9,6.89,4.24,4.92,6.2,37.43,36.85,5.2,0.68,0.18,0.12,0.57,0.78,1.45,0,443,2.38,1,0,49.62,3,3.61,4.18,5.82,18.66,9.34,6.61,4.09,51,9
16,Female,10752,2.08,1,3,6.54,8.22,0.76,9,4.14,3.92,9.5,4.3,71.69,77.15,0.71,0.71,0.12,0.22,0.45,0.79,4.35,11,13,0.52,9,1,132.89,10,6.83,5.2,6.78,19.14,4.73,8.74,1.04,44,2
37,Male,85058,6.77,21,24,4.89,2.31,3.14,10,7.32,2.53,6.64,9.89,66.53,30.66,4.32,0.53,0.14,0.37,0.59,0.59,2.49,44,340,0.75,2,1,204.9,8,6.18,5.0,6.73,15.98,9.21,7.42,2.77,52,4
26,Female,132416,4.02,23,7,10.29,3.62,0.55,8,6.87,4.5,3.24,8.27,73.05,60.52,3.45,0.47,0.12,0.54,0.4,0.82,0.95,27,56,2.08,1,0,224.24,1,0.88,2.8,3.38,29.0,9.27,4.13,6.84,81,4
21,Male,109421,7.61,39,6,5.18,0.31,0.62,8,5.3,2.45,2.33,5.58,75.82,59.01,6.45,0.95,0.66,0.23,0.49,0.85,3.37,17,71,1.16,4,0,189.88,0,4.31,6.0,4.2,29.06,11.76,3.88,1.83,42,7
38,Male,59227,2.48,3,0,6.21,2.78,5.53,1,4.28,8.11,3.32,5.49,59.96,57.99,0.64,0.69,0.44,0.26,0.42,0.34,4.77,32,347,1.86,3,1,695.48,5,5.78,3.7,5.95,26.34,4.35,3.8,0.25,74,4
14,Female,15690,1.6,34,20,7.85,0.65,0.59,10,6.51,2.19,1.36,4.71,61.36,63.68,0.31,0.74,0.14,0.38,0.63,0.63,2.74,0,425,1.02,2,0,765.21,2,8.5,6.23,4.25,23.74,10.72,4.67,3.75,14,7
32,Male,125309,3.9,18,4,7.04,0.02,0.55,7,4.96,5.67,3.28,4.7,80.05,88.98,3.47,0.51,0.22,0.74,0.46,0.69,4.16,44,44,0.44,1,0,637.56,7,6.98,6.51,3.69,20.49,4.58,1.18,2.2,70,5
40,Male,141923,3.86,23,3,5.92,0.4,0.35,8,5.67,10.0,7.23,5.48,51.82,88.55,3.62,0.84,0.18,0.59,0.83,0.59,4.99,1,88,0.26,4,1,219.41,10,6.86,5.08,6.82,20.81,4.51,5.27,2.84,15,8
59,Male,71205,2.63,23,17,6.54,8.11,3.09,7,5.68,5.9,7.29,3.57,54.32,90.24,4.86,0.21,0.29,0.34,0.93,0.43,5.96,2,75,1.36,7,0,101.09,10,4.74,6.97,9.25,23.69,3.81,4.14,4.46,69,8
19,Female,118775,11.98,1,16,9.08,2.57,0.24,8,4.2,6.0,4.52,5.76,78.61,95.13,8.38,0.84,0.21,0.13,0.62,0.39,4.76,40,81,1.95,9,0,6.79,2,4.75,3.49,6.52,20.5,19.11,2.37,10.0,31,9
56,Male,24479,1.74,14,3,4.84,4.27,2.53,7,4.89,4.18,2.01,4.39,59.42,73.35,1.5,0.36,0.16,0.57,0.32,0.41,0.73,43,454,2.1,5,0,772.83,10,5.53,5.6,9.75,21.42,6.5,1.61,1.89,47,6
20,Female,93784,2.91,22,7,7.11,3.92,4.46,5,7.3,2.08,5.56,4.19,80.21,80.22,2.5,0.82,0.08,0.54,0.56,0.18,5.09,8,409,1.92,7,0,309.51,8,3.78,7.89,7.75,24.87,4.14,5.75,3.23,41,6
59,Male,86112,0.8,22,1,8.13,0.78,0.22,5,4.7,4.44,3.82,8.75,79.74,76.77,1.4,0.66,0.24,0.67,0.84,0.71,3.22,5,353,2.21,7,0,58.33,9,3.06,5.44,5.81,29.15,5.45,7.22,1.06,82,3
47,Male,130279,0.61,6,15,6.46,5.14,0.79,2,1.86,5.42,7.6,8.51,71.39,100.0,0.0,0.78,0.5,0.47,0.86,0.12,7.42,19,464,0.25,5,1,162.98,5,4.41,7.67,5.24,33.04,1.43,7.5,2.43,76,8
26,Male,145888,3.6,30,23,7.76,2.24,2.94,1,3.2,2.48,5.64,3.97,59.83,63.34,3.01,0.91,0.15,0.55,0.25,0.45,6.26,42,258,1.06,1,0,2763.68,9,3.68,6.57,8.21,24.79,9.25,5.06,4.6,10,7
29,Female,59846,1.41,30,5,6.83,0.33,0.34,1,1.32,5.68,5.32,9.2,76.65,68.87,1.27,0.26,0.19,0.64,0.84,0.46,5.01,8,119,2.2,3,0,301.54,3,2.11,5.26,6.65,26.52,3.07,7.79,1.83,49,4
48,Male,101012,4.46,7,23,8.23,1.16,0.28,4,3.42,4.56,2.43,7.67,61.4,68.82,4.59,0.48,0.18,0.35,0.32,0.82,7.7,33,117,2.92,6,0,327.5,10,5.22,1.39,9.2,22.76,8.08,3.32,3.57,17,4
52,Other,100662,6.12,25,5,10.26,2.14,3.53,1,7.89,4.95,4.87,7.97,56.78,69.08,5.74,0.26,0.59,0.17,0.66,0.84,4.22,15,181,0.03,8,1,694.94,4,4.56,4.41,4.33,29.47,9.79,8.28,6.64,35,8
16,Male,128799,0.66,31,8,4.69,0.48,2.54,9,4.95,7.8,6.65,3.52,92.84,81.64,1.93,0.12,0.74,0.04,0.25,0.33,5.7,27,255,1.29,9,1,2270.06,0,4.33,5.99,3.59,26.13,8.4,2.46,7.76,33,10
14,Female,54077,3.54,11,22,4.44,0.53,3.91,6,8.18,5.59,4.49,6.23,82.47,70.52,1.11,0.92,0.12,0.55,0.6,0.42,8.54,27,263,1.08,4,1,291.52,1,4.5,2.4,3.26,20.47,7.66,0.0,2.74,82,9
18,Male,81756,4.22,10,16,4.95,0.14,0.17,7,3.13,6.62,8.13,3.84,62.81,69.86,2.94,0.71,0.14,0.15,0.6,0.74,1.35,43,455,2.96,2,0,289.49,10,4.93,4.75,5.53,27.23,9.09,4.24,6.22,70,4
54,Female,51680,5.03,5,13,5.77,2.59,0.01,10,4.89,3.41,3.44,5.1,45.31,73.98,3.22,0.67,0.13,0.48,0.33,0.8,3.64,0,451,2.62,10,1,516.83,6,4.14,5.13,8.68,25.52,6.4,6.87,3.42,33,5
16,Male,81184,6.17,19,24,2.94,3.36,1.72,4,4.51,3.65,3.78,6.89,81.47,87.78,2.87,0.81,0.04,0.52,0.08,0.84,3.58,21,225,0.58,5,1,275.91,8,4.48,5.83,3.47,18.88,12.59,2.03,1.81,84,6
41,Male,60181,2.53,19,5,8.05,1.28,0.07,7,4.7,3.59,6.02,5.1,80.26,54.98,2.26,0.54,0.05,0.57,0.37,0.45,6.51,41,385,2.52,1,0,1145.54,4,3.55,4.98,5.89,22.92,5.9,0.0,5.84,0,5
30,Other,93635,2.5,2,3,6.92,3.05,2.53,2,6.19,10.0,6.21,4.4,79.05,67.18,3.02,0.27,0.08,0.24,0.16,0.29,5.83,21,102,4.46,5,1,7.06,6,5.24,4.8,6.2,21.87,3.61,5.6,5.75,34,4
38,Female,36292,4.71,20,22,8.11,1.13,0.79,8,5.6,4.37,6.32,6.11,87.93,57.9,3.93,0.6,0.16,0.27,0.64,0.16,3.11,32,232,5.56,2,1,960.27,5,1.77,4.17,7.74,21.42,13.82,8.9,2.1,51,10
56,Male,10879,6.38,1,15,8.03,3.32,1.53,9,4.39,8.32,7.91,5.84,77.46,57.34,2.52,0.75,0.2,0.28,0.49,0.6,8.71,14,346,1.43,1,0,1672.27,5,3.07,3.19,6.93,11.07,13.36,9.85,3.29,30,4
46,Female,88268,3.2,26,5,5.57,0.68,0.15,4,6.31,6.75,7.29,7.87,64.47,64.1,1.76,0.67,0.41,0.65,0.36,0.32,5.69,47,320,1.45,5,0,681.24,6,7.01,5.1,1.84,24.55,4.18,2.79,5.76,78,3
22,Male,131522,9.04,12,2,7.24,0.26,0.35,9,3.19,9.66,9.04,4.32,67.82,99.86,5.67,0.43,0.09,0.52,0.96,0.28,2.62,2,268,4.47,4,0,186.14,6,1.83,6.31,1.43,28.82,9.95,10.0,2.79,47,10
48,Female,77675,5.21,28,12,7.22,1.35,0.5,3,1.28,5.41,7.41,6.81,86.86,47.05,3.89,0.65,0.31,0.32,0.59,0.85,8.57,29,153,4.18,6,1,569.65,5,5.83,5.81,8.74,24.15,6.27,7.47,4.76,97,2
26,Male,56499,0.72,14,13,9.33,2.29,5.17,2,5.22,5.23,6.12,3.75,67.65,60.8,1.38,0.41,0.46,0.6,0.73,0.72,7.49,9,271,1.25,7,1,30.65,9,4.73,5.3,4.52,21.09,5.4,2.19,9.93,21,7
43,Female,145479,2.45,17,21,8.11,2.47,1.52,8,2.77,5.34,7.19,9.21,78.4,81.64,0.83,0.48,0.36,0.47,0.49,0.65,6.18,30,466,0.95,8,1,560.52,6,5.67,5.69,6.28,22.37,4.98,10.0,0.25,6,3
27,Male,144191,2.71,2,22,8.04,5.06,0.43,3,4.11,0.08,3.36,8.49,51.05,39.8,3.23,0.58,0.34,0.19,0.34,0.24,12.12,40,278,2.31,9,0,41.57,0,4.2,3.43,4.91,23.13,10.7,6.01,0.59,95,4
20,Female,8408,3.01,34,15,6.3,2.51,0.18,9,0.64,5.21,5.45,1.78,59.52,55.69,2.46,0.58,0.43,0.39,0.91,0.64,7.6,41,258,2.92,0,0,286.11,2,6.42,7.02,6.33,27.52,4.58,4.21,0.59,52,7
26,Female,64034,1.57,8,2,7.47,2.9,2.92,4,6.38,0.0,6.77,7.37,79.55,68.88,2.64,0.3,0.16,0.38,0.37,0.77,1.75,17,146,1.35,5,0,626.91,5,7.75,0.73,7.01,24.84,3.98,4.85,6.26,3,4
35,Male,92892,4.42,25,23,8.24,2.59,4.87,4,7.17,6.64,7.61,4.85,54.49,79.76,3.26,0.43,0.19,0.35,0.22,0.83,9.26,14,217,0.63,0,0,441.1,7,6.8,5.69,3.25,25.32,8.79,6.42,4.4,62,8
52,Male,72602,5.85,28,13,5.32,1.86,5.17,10,3.42,7.78,4.51,3.02,65.64,96.14,2.92,0.54,0.27,0.78,0.24,0.09,2.4,15,121,2.53,10,0,523.11,5,2.94,6.56,4.78,20.19,6.47,6.39,3.87,47,3
33,Male,8648,3.37,15,21,7.52,2.45,2.32,2,8.19,3.03,0.31,4.18,100.0,58.9,1.3,0.5,0.14,0.31,0.23,0.76,7.04,32,48,3.31,0,0,1187.8,2,6.96,5.27,8.61,23.4,5.75,3.88,2.93,11,9
28,Male,77338,8.06,4,17,9.94,0.84,1.47,9,4.79,6.38,7.08,6.69,44.62,91.3,5.94,0.7,0.39,0.66,0.24,0.33,10.57,13,472,0.77,5,0,1070.87,5,4.41,5.53,9.52,24.75,12.17,4.66,3.25,18,6
57,Female,100230,5.21,27,16,7.98,1.15,0.45,10,6.94,5.99,8.5,6.78,84.53,79.49,2.82,0.4,0.32,0.16,0.81,0.24,8.41,4,229,2.24,8,0,960.53,6,4.13,5.2,6.6,21.5,8.95,4.99,3.17,24,10
30,Female,79206,0.67,19,18,8.08,2.88,0.25,6,7.05,10.0,9.1,10.0,62.42,62.81,1.72,0.77,0.51,0.69,0.32,0.42,9.83,22,7,2.48,1,0,506.9,7,7.69,10.0,7.42,23.12,1.57,3.85,1.61,5,10
59,Female,113726,0.48,13,15,7.79,1.66,0.79,4,2.65,6.37,5.97,5.39,56.9,71.45,0.0,0.58,0.2,0.3,0.14,0.4,3.38,39,326,3.55,4,1,17.16,1,10.0,6.54,7.64,27.44,1.35,5.29,5.76,51,9
36,Male,101810,1.23,20,9,7.76,1.14,1.82,8,3.09,8.31,6.47,5.67,68.66,75.8,3.01,0.16,0.25,0.5,0.16,0.06,2.13,25,30,0.34,5,0,162.83,5,4.81,6.49,3.0,30.48,3.72,2.27,0.0,5,9
38,Female,98692,13.22,14,24,3.96,4.67,0.46,1,3.98,8.71,7.35,5.27,64.41,63.29,8.83,0.4,0.43,0.31,0.75,0.33,7.67,47,18,0.66,7,0,135.57,8,1.63,2.85,8.07,27.19,18.16,4.4,2.92,48,3
37,Female,10601,3.53,35,3,8.96,0.24,1.53,9,4.78,2.6,5.01,6.23,81.05,54.11,2.72,0.22,0.63,0.02,0.24,0.56,3.66,20,428,1.04,6,0,86.42,5,7.61,6.38,2.69,20.16,7.85,5.61,3.94,99,1
57,Male,40857,6.51,16,0,5.9,1.38,0.84,6,2.02,8.13,7.22,5.35,67.34,63.05,5.9,0.74,0.4,0.17,0.8,0.48,11.75,19,219,0.63,0,1,961.76,3,0.17,3.56,6.1,20.42,6.68,6.36,3.67,86,8
53,Female,28516,11.18,10,17,7.6,0.06,0.18,3,3.19,5.52,4.83,6.11,64.85,68.24,7.79,0.39,0.06,0.13,0.62,0.65,3.38,9,220,1.92,0,0,30.88,3,5.64,6.31,6.81,26.29,14.14,4.42,4.18,26,8
41,Male,36352,5.05,31,16,10.37,0.97,1.82,8,6.63,8.33,7.96,4.28,85.75,73.95,2.73,0.04,0.09,0.14,0.87,0.97,11.48,2,109,0.66,4,1,418.59,8,2.35,9.87,5.58,23.78,8.99,6.75,4.26,76,4
27,Female,141662,2.65,18,20,8.68,0.43,1.9,2,6.51,5.6,5.62,8.59,66.41,59.42,2.74,0.42,0.09,0.87,0.73,0.65,2.63,15,472,0.82,10,0,443.83,9,4.71,0.88,6.81,22.75,9.72,3.52,5.68,79,10
57,Female,8118,9.92,37,5,6.51,0.35,6.79,10,2.76,5.15,6.79,7.49,68.45,70.17,5.17,0.13,0.58,0.29,0.86,0.59,7.74,4,196,0.97,1,1,1226.34,2,4.97,5.09,7.35,25.0,16.81,5.11,3.32,57,1
13,Male,91668,5.14,29,10,6.64,0.76,3.78,1,4.83,6.39,4.43,6.51,38.23,38.47,3.28,0.33,0.37,0.14,0.77,0.42,6.16,41,323,1.15,9,0,525.4,0,4.46,5.26,7.42,27.94,10.89,6.6,4.4,86,3
37,Male,69542,3.52,24,3,5.74,1.94,0.05,4,3.43,8.83,5.51,7.18,77.69,79.36,1.25,0.87,0.18,0.81,0.53,0.8,13.91,23,447,0.35,8,1,621.29,10,1.3,5.23,1.54,25.06,8.05,5.97,3.87,6,9
19,Female,24868,0.44,2,11,8.62,1.58,2.93,2,4.52,2.72,7.08,6.57,51.26,73.27,0.67,0.1,0.25,0.23,0.29,0.88,6.3,40,192,1.83,8,1,419.26,8,5.0,5.69,2.93,28.83,4.49,3.76,4.31,99,9
21,Female,147960,16.47,12,20,9.59,3.21,0.44,10,6.63,1.54,10.0,4.91,81.97,88.43,10.0,0.34,0.33,0.69,0.77,0.88,3.59,11,458,0.47,3,1,2241.97,2,3.6,6.72,8.14,17.82,23.24,4.18,4.32,22,8
36,Male,11159,1.64,17,3,8.86,2.22,0.29,5,4.41,7.74,4.28,3.81,91.6,66.26,1.48,0.76,0.2,0.33,0.17,0.26,4.39,30,323,0.78,6,0,269.51,7,9.52,4.6,1.45,19.98,5.63,6.22,5.47,78,10
13,Male,144530,5.85,13,9,7.9,0.77,0.53,2,6.39,6.14,3.17,6.44,100.0,67.71,4.77,0.53,0.39,0.52,0.55,0.47,1.26,47,481,0.26,1,1,1221.33,8,6.8,3.7,8.91,31.35,8.77,6.75,5.78,36,7
56,Female,90573,2.09,13,8,5.86,0.42,1.53,5,3.41,7.78,9.3,9.15,72.13,75.48,1.07,0.72,0.46,0.65,0.47,0.65,5.26,6,176,0.72,0,0,187.18,9,7.14,4.42,7.88,29.71,9.29,3.56,3.86,2,5
20,Female,136522,2.12,16,13,6.4,1.97,2.24,8,8.69,8.85,4.68,8.15,72.6,79.94,3.48,0.7,0.1,0.43,0.57,0.56,5.5,43,76,2.33,4,1,141.5,5,5.16,2.48,5.41,24.84,8.06,4.3,4.74,18,7
